,a01,a02,a02agesquared,a03,a04,a05,a05new,a06,a07,a08,a08new,a09,a09new,a10,a10new,address,adr85_19,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,block,c01,c01new,c02,c02new,c03,c04,c04new,c05,c06,c07,c08,c09,c09new,c10,c10new,c11,c11new,c12,c12new,c13,c13new,c14,c14new,d01,d02,daramad,daramad01,daramad02,daramad03,daramad04,daramad05,daramad06,daramad09,daramad10,daramad11,daramad12,daramad16,f_segment,fa_strata_new,fasl,ghazineh,hhold_id,id_hhold_psu,id_tarh,nhazineh,sathezirbana,vgheirehkhorak,vkhorak,weight
75,1,76,5776,2,0,0,0,1,1,5220,5,5238,7,1,1,1000006007,1.02168E+15,1,0,3,18,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,4,0,0,0,0,0,14,1,0,24,859,3,3,2,2,0,1,1,1,5,5,2,5,5,5,5,2,2,4,4,4,4,2,2,4,184,71670000,0,0,0,0,0,0,36000000,0,8130000,27540000,8130000,1,1112,2,114319000,4,6,5,114319000,8,94717000,19602000,730.0405556
76,1,29,841,1,2,512,8,1,1,5220,5,5030,7,2,2,1000006010,1.02168E+15,6,0,3,11,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,4,0,0,0,0,0,14,1,0,24,70060,2,2,2,2,0,2,2,2,9,9,4,9,8,9,8,4,4,8,8,8,8,4,4,6,184,98940000,53048000,11592000,55400000,0,0,0,16300000,0,0,18000000,0,1,1112,2,227814000,3,6,5,227814000,5,197490000,30324000,730.0405556
78,1,29,841,1,2,324,7,1,1,5220,5,5233,7,1,1,1000006018,1.02168E+15,3,0,3,13,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,4,0,0,0,0,0,14,1,0,24,70060,2,2,2,2,0,1,1,1,9,9,1,9,9,9,9,1,0,9,9,9,9,1,1,6,184,49750000,0,0,0,0,0,0,36000000,0,13750000,0,4550000,1,1112,2,294332000,1,6,5,294332000,6,267770000,26562000,730.0405556
79,1,48,2304,1,2,514,9,1,1,4190,4,2812,4,4,5,1000007005,1.02168E+15,1,0,3,23,3,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,4,0,0,0,0,0,14,1,1,24,869,4,4,4,4,2,1,1,2,9,9,9,9,8,9,8,9,9,8,8,8,8,9,9,2,184,308680008,0,0,0,156140008,35880000,173200000,0,0,86360000,30300000,19860000,1,1112,3,238293000,5,7,7,228093000,10,188187000,50106000,730.0405556
80,1,24,576,1,2,522,7,1,1,8322,8,6022,9,2,2,1000007009,1.02168E+15,6,0,2,20,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,4,0,0,0,0,0,14,1,0,24,869,2,2,2,2,0,1,1,1,1,2,1,1,1,3,2,1,1,1,1,2,2,1,1,2,184,56890000,0,0,0,0,0,0,25900000,0,9390000,21600000,9390000,1,1112,3,74866000,4,7,7,54866000,10,47362000,27504000,730.0405556
82,1,58,3364,1,2,106,5,1,1,8322,8,7511,12,3,3,1000007013,1.02168E+15,3,0,2,16,3,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,70070,4,4,4,4,2,1,1,1,8,8,6,7,7,7,7,6,6,7,7,7,7,7,7,3,184,133480008,83500008,19320000,90000000,0,0,0,0,0,30660000,0,19860000,1,1112,3,168588000,2,7,7,168588000,7,134388000,34200000,730.0405556
83,1,38,1444,1,1,511,7,1,1,5169,5,6512,10,3,3,1000007018,1.02168E+15,1,0,3,24,3,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,70070,4,4,3,3,2,1,1,1,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,3,184,225940000,154000000,30240000,154000000,0,0,0,0,0,19860000,21840000,19860000,1,1112,3,361011000,1,7,7,361011000,11,310569000,50442000,730.0405556
84,1,43,1849,1,2,214,6,1,1,4211,4,6512,10,3,3,1000008155,1.02168E+15,3,0,3,9,3,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,4,0,0,0,0,0,14,1,0,24,70081,4,4,4,4,1,2,2,2,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,2,184,215344000,61920000,35674000,67500000,55110000,0,57000000,0,0,62640000,0,21840000,1,1112,4,334840000,5,8,8,334840000,4,267265000,67575000,365.0202778
85,1,21,441,1,1,511,7,1,4,8163,8,6421,9,4,5,1000008159,1.02168E+15,3,0,2,9,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,4,0,0,0,0,0,14,1,0,24,70081,1,1,1,1,1,1,1,1,2,2,0,2,2,2,2,0,0,1,1,1,1,0,0,2,184,38080000,0,0,0,18304000,10176000,19200000,0,0,9600000,0,0,1,1112,4,67788000,4,8,8,67788000,4,56196000,11592000,365.0202778
86,1,33,1089,1,2,324,7,1,1,8125,8,2722,4,4,5,1000008162,1.02168E+15,3,0,4,14,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,80081,3,3,2,2,0,1,1,1,7,7,6,7,7,7,6,6,6,6,6,6,6,6,6,3,184,128050000,0,0,0,77460000,27010000,84000000,0,0,23580000,0,16380000,1,1112,4,151027000,3,8,8,151027000,7,125524000,25503000,365.0202778
